images\000000000.tif  labels\000000000.txt 
images\000000001.tif  labels\000000001.txt 
images\000000002.tif  labels\000000002.txt 
images\000000003.tif  labels\000000003.txt 
images\000000004.tif  labels\000000004.txt 
images\000000005.tif  labels\000000005.txt 
images\000000006.tif  labels\000000006.txt 
images\000000007.tif  labels\000000007.txt 
images\000000008.tif  labels\000000008.txt 
images\000000009.tif  labels\000000009.txt 
images\000000010.tif  labels\000000010.txt 
images\000000011.tif  labels\000000011.txt 
images\000000012.tif  labels\000000012.txt 
images\000000013.tif  labels\000000013.txt 
images\000000014.tif  labels\000000014.txt 
images\000000015.tif  labels\000000015.txt 
images\000000016.tif  labels\000000016.txt 
images\000000017.tif  labels\000000017.txt 
images\000000018.tif  labels\000000018.txt 
images\000000019.tif  labels\000000019.txt 
images\000000020.tif  labels\000000020.txt 
images\000000021.tif  labels\000000021.txt 
images\000000022.tif  labels\000000022.txt 
images\000000023.tif  labels\000000023.txt 
images\000000024.tif  labels\000000024.txt 
images\000000025.tif  labels\000000025.txt 
images\000000026.tif  labels\000000026.txt 
images\000000027.tif  labels\000000027.txt 
images\000000028.tif  labels\000000028.txt 
images\000000029.tif  labels\000000029.txt 
images\000000030.tif  labels\000000030.txt 
images\000000031.tif  labels\000000031.txt 
images\000000032.tif  labels\000000032.txt 
images\000000033.tif  labels\000000033.txt 
images\000000034.tif  labels\000000034.txt 
images\000000035.tif  labels\000000035.txt 
images\000000036.tif  labels\000000036.txt 
images\000000037.tif  labels\000000037.txt 
images\000000038.tif  labels\000000038.txt 
images\000000039.tif  labels\000000039.txt 
images\000000040.tif  labels\000000040.txt 
images\000000041.tif  labels\000000041.txt 
images\000000042.tif  labels\000000042.txt 
images\000000043.tif  labels\000000043.txt 
images\000000044.tif  labels\000000044.txt 
images\000000045.tif  labels\000000045.txt 
images\000000046.tif  labels\000000046.txt 
images\000000047.tif  labels\000000047.txt 
images\000000048.tif  labels\000000048.txt 
images\000000049.tif  labels\000000049.txt 
images\000000050.tif  labels\000000050.txt 
images\000000051.tif  labels\000000051.txt 
images\000000052.tif  labels\000000052.txt 
images\000000053.tif  labels\000000053.txt 
images\000000054.tif  labels\000000054.txt 
images\000000055.tif  labels\000000055.txt 
images\000000056.tif  labels\000000056.txt 
images\000000057.tif  labels\000000057.txt 
images\000000058.tif  labels\000000058.txt 
images\000000059.tif  labels\000000059.txt 
images\000000060.tif  labels\000000060.txt 
images\000000061.tif  labels\000000061.txt 
images\000000062.tif  labels\000000062.txt 
images\000000063.tif  labels\000000063.txt 
images\000000064.tif  labels\000000064.txt 
images\000000065.tif  labels\000000065.txt 
images\000000066.tif  labels\000000066.txt 
images\000000067.tif  labels\000000067.txt 
images\000000068.tif  labels\000000068.txt 
images\000000069.tif  labels\000000069.txt 
images\000000070.tif  labels\000000070.txt 
images\000000071.tif  labels\000000071.txt 
images\000000072.tif  labels\000000072.txt 
images\000000073.tif  labels\000000073.txt 
images\000000074.tif  labels\000000074.txt 
images\000000075.tif  labels\000000075.txt 
images\000000076.tif  labels\000000076.txt 
images\000000077.tif  labels\000000077.txt 
images\000000078.tif  labels\000000078.txt 
images\000000079.tif  labels\000000079.txt 
images\000000080.tif  labels\000000080.txt 
images\000000081.tif  labels\000000081.txt 
images\000000082.tif  labels\000000082.txt 
images\000000083.tif  labels\000000083.txt 
images\000000084.tif  labels\000000084.txt 
images\000000085.tif  labels\000000085.txt 
images\000000086.tif  labels\000000086.txt 
images\000000087.tif  labels\000000087.txt 
images\000000088.tif  labels\000000088.txt 
images\000000089.tif  labels\000000089.txt 
images\000000090.tif  labels\000000090.txt 
images\000000091.tif  labels\000000091.txt 
images\000000092.tif  labels\000000092.txt 
images\000000093.tif  labels\000000093.txt 
images\000000094.tif  labels\000000094.txt 
images\000000095.tif  labels\000000095.txt 
images\000000096.tif  labels\000000096.txt 
images\000000097.tif  labels\000000097.txt 
images\000000098.tif  labels\000000098.txt 
images\000000099.tif  labels\000000099.txt 
images\000000100.tif  labels\000000100.txt 
images\000000101.tif  labels\000000101.txt 
images\000000102.tif  labels\000000102.txt 
images\000000103.tif  labels\000000103.txt 
images\000000104.tif  labels\000000104.txt 
images\000000105.tif  labels\000000105.txt 
images\000000106.tif  labels\000000106.txt 
images\000000107.tif  labels\000000107.txt 
images\000000108.tif  labels\000000108.txt 
images\000000109.tif  labels\000000109.txt 
images\000000110.tif  labels\000000110.txt 
images\000000111.tif  labels\000000111.txt 
images\000000112.tif  labels\000000112.txt 
images\000000113.tif  labels\000000113.txt 
images\000000114.tif  labels\000000114.txt 
images\000000115.tif  labels\000000115.txt 
images\000000116.tif  labels\000000116.txt 
images\000000117.tif  labels\000000117.txt 
images\000000118.tif  labels\000000118.txt 
images\000000119.tif  labels\000000119.txt 
images\000000120.tif  labels\000000120.txt 
images\000000121.tif  labels\000000121.txt 
images\000000122.tif  labels\000000122.txt 
images\000000123.tif  labels\000000123.txt 
images\000000124.tif  labels\000000124.txt 
images\000000125.tif  labels\000000125.txt 
images\000000126.tif  labels\000000126.txt 
images\000000127.tif  labels\000000127.txt 
images\000000128.tif  labels\000000128.txt 
images\000000129.tif  labels\000000129.txt 
images\000000130.tif  labels\000000130.txt 
images\000000131.tif  labels\000000131.txt 
images\000000132.tif  labels\000000132.txt 
images\000000133.tif  labels\000000133.txt 
images\000000134.tif  labels\000000134.txt 
images\000000135.tif  labels\000000135.txt 
images\000000136.tif  labels\000000136.txt 
images\000000137.tif  labels\000000137.txt 
images\000000138.tif  labels\000000138.txt 
images\000000139.tif  labels\000000139.txt 
images\000000140.tif  labels\000000140.txt 
images\000000141.tif  labels\000000141.txt 
images\000000142.tif  labels\000000142.txt 
images\000000143.tif  labels\000000143.txt 
images\000000144.tif  labels\000000144.txt 
images\000000145.tif  labels\000000145.txt 
images\000000146.tif  labels\000000146.txt 
images\000000147.tif  labels\000000147.txt 
images\000000148.tif  labels\000000148.txt 
images\000000149.tif  labels\000000149.txt 
images\000000150.tif  labels\000000150.txt 
images\000000151.tif  labels\000000151.txt 
images\000000152.tif  labels\000000152.txt 
images\000000153.tif  labels\000000153.txt 
images\000000154.tif  labels\000000154.txt 
images\000000155.tif  labels\000000155.txt 
images\000000156.tif  labels\000000156.txt 
images\000000157.tif  labels\000000157.txt 
images\000000158.tif  labels\000000158.txt 
images\000000159.tif  labels\000000159.txt 
images\000000160.tif  labels\000000160.txt 
images\000000161.tif  labels\000000161.txt 
images\000000162.tif  labels\000000162.txt 
images\000000163.tif  labels\000000163.txt 
images\000000164.tif  labels\000000164.txt 
images\000000165.tif  labels\000000165.txt 
images\000000166.tif  labels\000000166.txt 
images\000000167.tif  labels\000000167.txt 
images\000000168.tif  labels\000000168.txt 
images\000000169.tif  labels\000000169.txt 
images\000000170.tif  labels\000000170.txt 
images\000000171.tif  labels\000000171.txt 
images\000000172.tif  labels\000000172.txt 
images\000000173.tif  labels\000000173.txt 
images\000000174.tif  labels\000000174.txt 
images\000000175.tif  labels\000000175.txt 
images\000000176.tif  labels\000000176.txt 
images\000000177.tif  labels\000000177.txt 
images\000000178.tif  labels\000000178.txt 
images\000000179.tif  labels\000000179.txt 
images\000000180.tif  labels\000000180.txt 
images\000000181.tif  labels\000000181.txt 
images\000000182.tif  labels\000000182.txt 
images\000000183.tif  labels\000000183.txt 
images\000000184.tif  labels\000000184.txt 
images\000000185.tif  labels\000000185.txt 
images\000000186.tif  labels\000000186.txt 
images\000000187.tif  labels\000000187.txt 
images\000000188.tif  labels\000000188.txt 
images\000000189.tif  labels\000000189.txt 
images\000000190.tif  labels\000000190.txt 
images\000000191.tif  labels\000000191.txt 
images\000000192.tif  labels\000000192.txt 
images\000000193.tif  labels\000000193.txt 
images\000000194.tif  labels\000000194.txt 
images\000000195.tif  labels\000000195.txt 
images\000000196.tif  labels\000000196.txt 
images\000000197.tif  labels\000000197.txt 
images\000000198.tif  labels\000000198.txt 
images\000000199.tif  labels\000000199.txt 
images\000000200.tif  labels\000000200.txt 
images\000000201.tif  labels\000000201.txt 
images\000000202.tif  labels\000000202.txt 
images\000000203.tif  labels\000000203.txt 
images\000000204.tif  labels\000000204.txt 
images\000000205.tif  labels\000000205.txt 
images\000000206.tif  labels\000000206.txt 
images\000000207.tif  labels\000000207.txt 
images\000000208.tif  labels\000000208.txt 
images\000000209.tif  labels\000000209.txt 
images\000000210.tif  labels\000000210.txt 
images\000000211.tif  labels\000000211.txt 
images\000000212.tif  labels\000000212.txt 
images\000000213.tif  labels\000000213.txt 
